group,order,name,lat,lng,year,purpose,notes
,,"New York, USA",40.7128,-74.0060,,,
,,"Washington State, USA",47.7511,-120.7401,,,
,,"Veracruz, Mexico",19.1738,-96.1342,,,
Roadtrip,1,"Greenville, OH",40.1106,-84.6235,2012,High School Graduation Roadtrip,
Roadtrip,2,"St. Louis, MO",38.6270,-90.1994,2012,High School Graduation Roadtrip,
Roadtrip,3,"Cadillac Ranch, TX",35.187175,-101.987473,2012,High School Graduation Roadtrip,
Roadtrip,4,"Grand Canyon, AZ",36.1069,-112.1129,2012,High School Graduation Roadtrip,
Roadtrip,5,"Las Vegas, NV",36.1699,-115.1398,2012,High School Graduation Roadtrip,
Roadtrip,6,"Yosemite National Park, CA",37.8651,-119.5383,2012,High School Graduation Roadtrip,
Roadtrip,7,"Lake Tahoe, CA",39.0968,-120.0324,2012,High School Graduation Roadtrip,
Roadtrip,8,"San Francisco, CA",37.7749,-122.4194,2012,High School Graduation Roadtrip,
Roadtrip,9,"Yellowstone National Park, WY",44.4280,-110.5885,2012,High School Graduation Roadtrip,
Roadtrip,10,"Mount Rushmore, SD",43.8791,-103.4591,2012,High School Graduation Roadtrip,
Roadtrip,11,"Corn Palace, SD",43.714800,-98.025568,2012,High School Graduation Roadtrip,
Roadtrip,12,"Greenville, OH",40.1106,-84.6235,2012,High School Graduation Roadtrip,
"Manu National Park, Peru",1,"Lima, Peru",-12.0464,-77.0428,2013,Wright State University Field Course,
"Manu National Park, Peru",2,"Cusco, Peru",-13.516977,-71.978685,2013,Wright State University Field Course,
"Manu National Park, Peru",3,"Casa Matsiguenka Lodge, Peru",-11.984189,-71.238335,2013,Wright State University Field Course,
"Manu National Park, Peru",4,"Manu Wildlife Center, Peru",-12.356278,-70.707337,2013,Wright State University Field Course,
"Pantanal, Brazil",1,"São Paulo, Brazil",-23.5505,-46.6333,2019,NSF/FAPESP Collaborative Research,
"Pantanal, Brazil",2,"Pantanal, Brazil",-17.500,-57.000,2019,NSF/FAPESP Collaborative Research,
"Tasmania, Australia",1,"Hobart, Tasmania",-42.8821,147.3272,2022,NSF/FAPESP Collaborative Research,
"Tasmania, Australia",2,"Yolla, Tasmania",-41.144581,145.701494,2022,NSF/FAPESP Collaborative Research,
"Tasmania, Australia",3,"Parklands, Tasmania",-41.045292,145.900790,2022,NSF/FAPESP Collaborative Research,
"Tasmania, Australia",4,"Central Plateau, Tasmania",-41.742193,146.706015,2022,NSF/FAPESP Collaborative Research,
